overall,reviewText,,,,,,,,,,
5,Good quality. Good privacy and easy application. Winner winner!,,,,,,,,,,
2,"This case is super cute and fits my phone properly. However, it does not snap tight. So every time I go to grab it, I have to snap the case back together. Very disappointing. This also is a very cheaply priced cover and honestly you get what you pay for in this case. The case is very cheap plastic.",,,,,,,,,,
5,"very nice and sleek, looks and feels great,, would definitely buy again!",,,,,,,,,,
5,Bought this for a friend of mine. People compliment him on the lime green color all the time. He loves it very much. I put the screen protector on for him and it fit perfectly. Also it is very good for keeping the phone protected. I will defiantly be buying this brand for other phones.,,,,,,,,,,
2,"The iPhone really needs a horizontal case like this one. It's a bit long and wearing it on your hip vertically makes it uncomfortable and unwieldy when you sit down. Whereas a vertical case eliminated this problem. In terms of looks, I feel horizontal and vertical both look equally as cool but a horizontal case is a lot more convenient, at least to me.This DLO case is nicely made and seems durable but unfortunetly, there is a flaw in the design: the exposed open parts can make your iPhone very vunerable to scratches. I noticed a fairly deep scratch on the back of my iPhone right where the middle opening on this case is. It could have happened from a zipper, metal button or most probably from a rivet on my jeans coming in contact with the back of the iPhone through the slot. I am switching to another case that covers more of the iPhone.Just a side note about rubber iPhone cases: I don't like the feel of the rubber cases at all-they feel weird in the hand. And the rubber cases tend to stretch out over time and this lets in dust and grit which can scratch the iPhone. Also Apple recommends you not charge the iPhone will in a rubber case because the heat will not be able to dissipate. This means you have to keep taking it out of the rubber case and putting it back in every time you charge. You can see that these types of cases are less than ideal.",,,,,,,,,,
1,cheap quality!,,,,,,,,,,
3,Not long life but works well,,,,,,,,,,
4,"Like it, had to work out air bubbles",,,,,,,,,,
1,Very hard to take out of case.,,,,,,,,,,
5,highly recommended!,,,,,,,,,,
